track_id;track_name;artist_id;artist_name;album_id;duration;release_date;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;playlist_id;playlist_name;popularity_rate;PITCH
7j31rVgGX9Q2blT92VBEA0;Teenagers;7FBcuc1gsnv6Y1nwFtNRCb;My Chemical Romance;0FZK97MXMm5mUQ8mtudjuK;161920;2006-10-23;81;463;857;4;-3.063;1;0.0632;0.0506;0;184;856;111.647;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
6L89mwZXSOwYl76YXfX13s;Basket Case;7oPftvlwr6VrsViSDV7fJY;Green Day;4uG8q3GPuWHQlRbswMIRS6;181533;1994-02-01;81;442;943;3;-3.205;1;0.0602;0.00293;8.71E-6;91;781;85.064;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
6TfBA04WJ3X1d1wXhaCFVT;You're Gonna Go Far, Kid;5LfGQac0EIXyAN8aUwmNAQ;The Offspring;67v63ubEsvDUQkYMzI7A9t;177826;2008-06-17;80;0.55;917;0;-3.159;1;0.0638;0.00428;0;197;601;126.115;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
6GG73Jik4jUlQCkKg9JuGO;The Middle;3Ayl7mCk0nScecqOzvNp6s;Jimmy Eat World;0UJhhj5bn5AGAjryFnhueP;165853;2001-07-17;80;643;849;2;-5.428;1;0.0526;0.0371;0;58;903;162.152;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
7kDUspsoYfLkWnZR7qwHZl;my ex's best friend (with blackbear);6TIYQ3jFPwQSRmorSezPxX;Machine Gun Kelly;57lgFncHBYu5E3igZnuCJK;139460;2020-09-25;79;731;675;5;-5.134;0;0.0434;0.00473;0;141;298;124.939;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
3Zwu2K0Qa5sT6teCCHPShP;Thnks fr th Mmrs;4UXqAaa6dQYAk18Lv7PEgX;Fall Out Boy;0hHopYqXhuvYSHtVyrcb1g;203506;2007-01-01;79;459;891;10;-5.057;0;0.0623;0.00511;0;106;588;154.837;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
0JJP0IS4w0fJx01EcrfkDe;Dear Maria, Count Me In;46gyXjRIvN1NL1eCB8GBxo;All Time Low;0H4ELcHequ3OligrjWfrZP;182826;2007-09-25;77;459;895;2;-3.126;1;0.0805;0.00725;0;206;572;181.04;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
7lRlq939cDG4SzWOF4VAnd;I'm Not Okay (I Promise);7FBcuc1gsnv6Y1nwFtNRCb;My Chemical Romance;3DuiGV3J09SUhvp8gqNx8h;186480;2004-06-08;76;0.21;0.94;9;-3.427;1;123;0.00602;0;269;255;179.722;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
0BRHnOFm6sjxN1i9LJrUDu;The Anthem;5aYyPjAsLj7UzANzdupwnS;Good Charlotte;5CTygC3aONv7l0klY4k3hc;175093;2002-10-04;74;494;939;1;-3.127;1;126;0.00666;0;139;893;177.751;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
4EchqUKQ3qAQuRNKmeIpnf;The Kids Aren't Alright;5LfGQac0EIXyAN8aUwmNAQ;The Offspring;2RNTBrSO8U8XjjEj9RVvZ5;180160;1998-11-16;80;523;943;1;-4.203;1;0.0337;0.00704;0.0000381;0.0579;766;99.607;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
2TfSHkHiFO4gRztVIkggkE;Sugar, We're Goin Down;4UXqAaa6dQYAk18Lv7PEgX;Fall Out Boy;5nkUSlIhtoJZMOUlB0sNCp;229093;2005-05-03;78;494;842;7;-4.784;1;0.0843;0.00579;0;122;574;162.011;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
4KcH1ZRV2W1q7Flq0QqC76;Blitzkrieg Bop - 2016 Remaster;1co4F2pPNH8JjTutZkmgSm;Ramones;5uYDAwW0SZgcfOFkxrST64;134466;1976-04-23;73;385;783;9;-2.533;1;233;0.000269;0.47;108;902;176.701;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
21Qsj3cMVCx2xF2EVVNbEu;Fell In Love With a Girl;4F84IBURUo98rz4r61KF70;The White Stripes;6Xvc1TfpVEhDeHhmTQEtp0;110093;2001-07-03;72;356;982;4;-1.574;0;112;713;0.00145;941;299;95.754;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
0Ti2dlF2xLjXblvdU5fCxM;Miss Murder;19I4tYiChJoxEO5EuviXpz;AFI;1XcA7EEpVRg3FpVbhWu9JV;206586;2006-06-06;72;308;873;8;-4.542;1;0.0533;0.00022;0.000729;0.0974;686;143.519;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
1VSuFS7PahCN3SWbOcQ98m;forget me too (feat. Halsey);6TIYQ3jFPwQSRmorSezPxX;Machine Gun Kelly;57lgFncHBYu5E3igZnuCJK;171620;2020-09-25;74;654;875;1;-4.845;1;0.0744;0.000417;0.0086;194;522;99.975;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
1FkoVC85Ds3mFoK0fVqEqP;Self Esteem;5LfGQac0EIXyAN8aUwmNAQ;The Offspring;7IDywTRaCI8qzS3X8tNU3x;257826;1994-04-08;77;488;862;0;-7.595;1;0.0476;0.0204;0;359;706;104.56;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;high;1
0wVluBsVAVzBKrqspuCcwR;Check Yes, Juliet;3ao3jf5d70Tf4fPh2bnXVl;We The Kings;5kykHij9W4lQ4fFEfIo7BB;220146;2007-10-07;70;352;912;7;-4.253;1;0.0725;0.00197;0;193;351;166.795;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
7rSERmjAT38lC5QhJ8hnQc;I'm Shipping Up To Boston;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;2sZGDqHfU884z3iFris122;153600;2005-07-19;70;452;928;2;-3.133;1;79;0.000706;0.000637;226;0.6;129.188;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
61XspFITuKmAlYdQacNCbF;Bleed American;3Ayl7mCk0nScecqOzvNp6s;Jimmy Eat World;0UJhhj5bn5AGAjryFnhueP;181493;2001-07-17;67;438;938;6;-5.611;0;94;0.00842;1.08E-6;806;584;160.212;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
3asFGFY3uLjMDmML1p0tYm;Savior;6Wr3hh341P84m3EI8qdn9O;Rise Against;3smHEWBKoqDUFuJrV8BCg1;242280;2008-01-01;66;339;931;5;-3.425;0;62;0.0015;0.000142;425;467;112.548;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
45zvStEMsXp8z45OQRhWFJ;American Idiot;7oPftvlwr6VrsViSDV7fJY;Green Day;5Qhn2FpGWmTjCuntF09j7g;174320;2004-09-21;66;381;984;1;-2.42;1;0.0638;0.0000253;0.0000691;0.27;0.81;186.081;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
0T8P86fvSK8kCUJFYPZbIH;All Signs Point To Lauderdale;4NiJW4q9ichVqL1aUsgGAN;A Day To Remember;6I2SUr0MolRUiDEcZAbSWm;197200;2010-11-16;66;425;983;10;-3.437;1;114;0.000263;0;114;513;149.95;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
2OMqSRS11ly56zg9u5za6c;Still Waiting;0qT79UgT5tY4yudH9VfsdT;Sum 41;2kLmv0O8blKeM5HKxLtQrC;158733;2002-01-01;65;431;0.95;7;-4.918;1;0.26;0.00105;0.0000363;272;0.56;191.936;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
41kg2RvdwBuIv0OPpvBS4v;Time Bomb;6xTk3EK5T9UzudENVvu9YB;Rancid;1HisV3ZKLs9It3KlGcPki5;144333;1995-08-15;64;646;962;9;-4.862;1;0.0536;138;0;471;961;164.79;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
24CRDgNOgA72JLL7PHFjgB;Anthem Part Two;6FBDaR13swtiWwGhX1WQsP;blink-182;3nHpBmW5wJXGeC3ojBkpey;227200;2001;64;552;932;0;-3.782;1;0.0426;0.000102;0;119;518;103.108;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
7AimHQrOUoUTYbVX87D3Zl;96 Quite Bitter Beings;3ZQEU2arcWXSv3oz8hwWBK;CKY;2FnppgYWQ1bzMfdNP8lvDw;201920;1999-01-01;64;458;779;3;-8.312;0;0.0486;0.00184;0.0000428;313;729;99.093;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
3KLkRy9l3us98SIp6mmxkk;No Cigar;74xFFXkvOq9dPDigOWTHiX;Millencolin;5VWyJbfC4DUsnC1NLSjuWC;163226;2000-02-22;63;383;986;9;-2.796;1;0.0617;0.000287;0;179;578;157.871;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
1N7Aep1OewK9diaN9WbuuR;Stupid for You;3QaxveoTiMetZCMp1sftiu;Waterparks;1uh8SiLASOMowO5TWEYmbw;191544;2016-11-03;62;581;922;1;-3.408;0;0.0666;24;0;202;596;118.408;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
3Id64dLhfH7z0mmcylxuNp;Fuck Authority;6i0KVTOvm96T55mbp742ks;Pennywise;6oEh869vJQY1QdfZlVQ0ly;196120;2001-06-19;62;0.45;937;5;-2.819;0;0.0504;0.000887;0.00457;379;791;101.922;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
4OSbctVD37ycS0H3rwRm72;Prayer Of The Refugee;6Wr3hh341P84m3EI8qdn9O;Rise Against;1VZ0i4vJ0AkPbmpuaktZMJ;199386;2006-01-01;66;0.2;977;3;-3.494;0;159;0.00165;0.000011;259;0.39;195.711;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
5TZn3LQSWwVPnBlPgFKb54;American Jesus;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;1DMLunJrzPkQws2uQU797l;197666;1993-09-21;61;404;985;0;-4.173;1;0.0491;0.00238;0;192;697;181.406;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
4Q4w8aRdfhIIEhBututktL;Story of My Life;16nn7kCHPWIB6uK09GQCNI;Social Distortion;46nX6hzuIb6wEia7OQ2viS;346333;1990-03-27;61;328;884;6;-7.982;1;0.0338;0.0676;0.0166;327;686;201.868;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
4XOZaPYeMn9hcbpyS90NnD;Lights And Sounds;3zxKH0qp3nBCuPZCZT5Vaf;Yellowcard;5EaEOUs3O1MZRicDMUIuqo;208186;2006-01-01;60;344;972;11;-3.675;0;116;0.0000848;0;293;387;167.819;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
1ybhXkz4S8k9fdBZNBan7L;Bro Hymn - 2005 Remaster;6i0KVTOvm96T55mbp742ks;Pennywise;5NHEi9LvFF2IEOct2BTUMt;180893;1991-10-22;60;408;0.82;0;-5.116;1;0.0423;0.0118;6.58E-6;689;382;98.288;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
3xhvI8X8PGCKuKd49ZyFNJ;All My Friends Are Nobodies;6SiyKSeJo6gcsS2NvuAbsl;zebrahead;5JxQ55Wvq2kCWtOQ0gSr9h;183242;2019-08-09;60;553;966;8;-3.097;1;74;0.000548;0.0000406;197;609;107.97;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
17XgxMFNzBYv38TEJRC18D;The Hell Song;0qT79UgT5tY4yudH9VfsdT;Sum 41;2kLmv0O8blKeM5HKxLtQrC;198493;2002-01-01;60;359;935;8;-5.529;0;0.0817;0.000143;0.0141;351;658;173.429;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
10UlU5E5RfydywnKmA1nFL;Chip;1YczG6BNjM9XAnw64RqnXi;The Real McKenzies;2lm8NrhAtM2ez61pI92J3l;194453;2008-08-05;60;0.43;887;5;-5.656;1;0.0435;0.00294;1.34E-6;0.0804;892;159.981;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
0bjwkqQ0lZSIes3IW7Aeq8;Ghost in My Home;5Vp7LqcfAtx2U1RfIX8i7r;Point North;1gfShNUI5uB4qR2MRQJIGu;200189;2018-10-31;59;426;0.97;4;-3.179;0;131;0.00772;0;129;424;160.034;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
7lSDCrF11sdTVfjbAQVZE8;I Fought the Law;3RGLhK1IP9jnYFH4BRFJBS;The Clash;3Zkggi5I9uH5x94DuN6u1S;163240;2013-08-26;59;526;0.9;2;-6.815;1;0.0545;0.00539;0.0000412;0.14;883;151.279;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
60FJeNTK5edr72G2xtCWuP;She's Kerosene;25Maank76ry2Tmbi2Ql1SF;The Interrupters;6AoWkAFBSNlX63z1fJVNIL;170453;2018-06-29;59;577;936;11;-2.924;0;78;43;0.0000174;413;899;168.879;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
7wXays9vrRN3i4wBpBYb2d;Coffee Talk;7EGdqeEDe7WMqOVyDFUYyo;Broadside;56SkNHaKkz6DlQygFvbEWV;174146;2015-05-18;59;274;963;8;-2.956;1;153;0.00041;0.00303;0.36;412;174.021;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
6vvmYYUvGXtZLU8msxKvzF;I Wanna Be Sedated - 2002 Remaster;1co4F2pPNH8JjTutZkmgSm;Ramones;5QK35ea0XnSBt6Ly8gWLhE;149466;1978-09-22;59;597;0.96;11;-3.989;1;42;169;0.0000289;105;937;163.017;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
4VKN3lBovrmKK7nWP4xknO;The Afterglow;1Tsag5J854qxeOo2apszug;Silverstein;7EAVX7J3DRvhbMiKjgtgvB;188885;2017-07-14;59;476;964;8;-4.683;1;127;0.00556;0;268;724;167.112;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
3DaSurzbFuzWE45tQm1TO5;When You Know;2TM0qnbJH4QPhGMCdPt7fH;Neck Deep;3fM2J0ilTBGwnzcN3SqUcG;189101;2020-07-24;57;546;782;8;-4.801;1;0.0371;0.00155;0.000545;0.0528;0.44;108.049;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
4bLKGUkVRxIyrN1770DdDm;Rose Tattoo;7w9jdhcgHNdiPeNPUoFSlx;Dropkick Murphys;5YYbg2ZO8rK84Zf4Z5yWPJ;306520;2013-01-08;57;323;912;9;-2.059;0;0.0425;0.0219;0;373;609;108.084;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
6qtg4gz3DhqOHL5BHtSQw8;I Don’t Want To Be Here Anymore;6Wr3hh341P84m3EI8qdn9O;Rise Against;65jmbHYm42IEATHEJCbKgC;239960;2014-01-01;56;236;971;6;-3.98;0;0.0987;0.000759;0.0000387;172;403;159.001;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
1NVjbk3Q06lEvAPUlTauzr;The Separation of Church and Skate;4S2yOnmsWW97dT87yVoaSZ;NOFX;579FRQBE6RnFZXn6dG0DeV;189733;2003-08-19;56;371;948;5;-3.796;1;159;0.00378;0.0000423;0.0668;278;137.187;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
1WhUguMtslKpiZqEbBpe4I;Gasoline;5Vp7LqcfAtx2U1RfIX8i7r;Point North;1GCRpa2J7QPdwSRRWdKUNr;200228;2019-01-18;57;438;975;11;-3.734;1;107;0.00217;9.05E-6;147;543;175.089;37i9dQZF1DX0BZrbvIqxCd;Punk Rock Workout;mid-high;1
